"","pitcher","p_throws","totalStrPct","totalBallPct","totalBIPPct"
"1",407845,"R",0.461229946524064,0.394385026737968,0.144385026737968
"2",488748,"L",0.450901803607214,0.402805611222445,0.146292585170341
"3",518715,"R",0.441260744985673,0.385386819484241,0.173352435530086
"4",519326,"R",0.443037974683544,0.386075949367089,0.170886075949367
"5",521230,"R",0.53070577451879,0.340054995417049,0.129239230064161
"6",571666,"R",0.458130740140465,0.351701782820097,0.190167477039438
"7",573127,"L",0.440119760479042,0.434131736526946,0.125748502994012
"8",592705,"R",0.466666666666667,0.466666666666667,0.0666666666666667
"9",594835,"L",0.484797297297297,0.322635135135135,0.192567567567568
"10",605525,"R",0.477386934673367,0.364321608040201,0.158291457286432
"11",623430,"R",0.422330097087379,0.41747572815534,0.160194174757282
"12",642152,"R",0.453793103448276,0.369655172413793,0.176551724137931
"13",433589,"R",0.463553530751708,0.343963553530752,0.19248291571754
"14",462136,"R",0.412790697674419,0.372093023255814,0.215116279069767
"15",465657,"R",0.496,0.361142857142857,0.142857142857143
"16",579328,"L",0.442050520059435,0.363298662704309,0.194650817236256
"17",592165,"R",0.450281425891182,0.390243902439024,0.159474671669794
"18",595014,"R",0.475195822454308,0.370757180156658,0.154046997389034
"19",606273,"L",0.463327370304114,0.364937388193202,0.171735241502683
"20",656186,"R",0.456521739130435,0.41304347826087,0.130434782608696
"21",670036,"R",0.459119496855346,0.386792452830189,0.154088050314465
"22",424144,"L",0.52621359223301,0.306796116504854,0.166990291262136
"23",425844,"R",0.458333333333333,0.359148550724638,0.182518115942029
"24",434378,"R",0.537506466632178,0.333678220382825,0.128815312984997
"25",435043,"L",0.380952380952381,0.45578231292517,0.163265306122449
"26",446372,"R",0.459276018099547,0.352941176470588,0.187782805429864
"27",448855,"R",0.440414507772021,0.404145077720207,0.155440414507772
"28",450212,"R",0.443877551020408,0.311224489795918,0.244897959183674
"29",452657,"L",0.457089552238806,0.371268656716418,0.171641791044776
"30",453172,"R",0.43006993006993,0.39044289044289,0.17948717948718
"31",453178,"R",0.498285714285714,0.350857142857143,0.150857142857143
"32",453286,"R",0.533720930232558,0.322093023255814,0.144186046511628
"33",456696,"R",0.538582677165354,0.316535433070866,0.14488188976378
"34",467008,"R",0.49010989010989,0.367032967032967,0.142857142857143
"35",468504,"R",0.445918367346939,0.395918367346939,0.158163265306122
